;Country name;Regional indicator;Ladder score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;Tipo de libertad
22;Malta;Western Europe;6.602;0.044;6.688;6.516;10.674;0.931;72.2;0.927;0.133;0.653;2.43;1.411;1.055;0.747;0.664;0.275;0.183;2.268;Alta libertad
23;Taiwan Province of China;East Asia;6.584;0.038;6.659;6.51;10.871;0.898;69.6;0.784;-0.07;0.721;2.43;1.48;0.982;0.665;0.49;0.142;0.139;2.687;Alta libertad
24;United Arab Emirates;Middle East and North Africa;6.561;0.039;6.637;6.484;11.085;0.844;67.333;0.932;0.074;0.589;2.43;1.555;0.86;0.594;0.67;0.236;0.223;2.422;Alta libertad
25;Saudi Arabia;Middle East and North Africa;6.494;0.056;6.604;6.384;10.743;0.891;66.603;0.877;-0.149;0.684;2.43;1.435;0.964;0.571;0.603;0.09;0.163;2.668;Alta libertad
26;Spain;Western Europe;6.491;0.042;6.574;6.408;10.571;0.932;74.7;0.761;-0.081;0.745;2.43;1.375;1.057;0.826;0.462;0.135;0.124;2.513;Alta libertad
27;Italy;Western Europe;6.483;0.045;6.572;6.395;10.623;0.88;73.8;0.693;-0.084;0.866;2.43;1.393;0.94;0.798;0.379;0.133;0.047;2.794;Alta libertad
28;Slovenia;Central and Eastern Europe;6.461;0.043;6.546;6.376;10.529;0.948;71.4;0.949;-0.101;0.806;2.43;1.36;1.093;0.722;0.69;0.122;0.085;2.388;Alta libertad
29;Guatemala;Latin America and Caribbean;6.435;0.073;6.577;6.292;9.053;0.813;64.958;0.906;-0.038;0.775;2.43;0.845;0.79;0.519;0.638;0.163;0.105;3.375;Alta libertad
30;Uruguay;Latin America and Caribbean;6.431;0.046;6.521;6.341;9.966;0.925;69.1;0.896;-0.092;0.59;2.43;1.164;1.042;0.649;0.625;0.128;0.223;2.6;Alta libertad
31;Singapore;Southeast Asia;6.377;0.043;6.46;6.293;11.488;0.915;76.953;0.927;-0.018;0.082;2.43;1.695;1.019;0.897;0.664;0.176;0.547;1.379;Alta libertad
32;Kosovo;Central and Eastern Europe;6.372;0.059;6.487;6.257;9.318;0.821;63.813;0.869;0.257;0.917;2.43;0.937;0.807;0.483;0.593;0.356;0.014;3.182;Alta libertad
33;Slovakia;Central and Eastern Europe;6.331;0.041;6.411;6.251;10.369;0.936;69.201;0.766;-0.124;0.911;2.43;1.304;1.066;0.653;0.468;0.107;0.018;2.714;Alta libertad
34;Brazil;Latin America and Caribbean;6.33;0.043;6.415;6.245;9.577;0.882;66.601;0.804;-0.071;0.756;2.43;1.028;0.944;0.571;0.514;0.142;0.117;3.015;Alta libertad
35;Mexico;Latin America and Caribbean;6.317;0.053;6.42;6.213;9.859;0.831;68.597;0.862;-0.147;0.799;2.43;1.126;0.83;0.634;0.585;0.092;0.089;2.961;Alta libertad
36;Jamaica;Latin America and Caribbean;6.309;0.156;6.615;6.004;9.186;0.877;67.5;0.89;-0.137;0.884;2.43;0.891;0.932;0.599;0.618;0.099;0.035;3.135;Alta libertad
37;Lithuania;Central and Eastern Europe;6.255;0.045;6.344;6.167;10.499;0.935;67.906;0.773;-0.203;0.826;2.43;1.35;1.065;0.612;0.476;0.056;0.073;2.624;Alta libertad
38;Cyprus;Western Europe;6.223;0.049;6.319;6.128;10.576;0.802;73.898;0.763;-0.015;0.844;2.43;1.377;0.765;0.801;0.464;0.178;0.061;2.578;Alta libertad
39;Estonia;Central and Eastern Europe;6.189;0.038;6.263;6.115;10.481;0.941;68.8;0.909;-0.106;0.527;2.43;1.344;1.079;0.64;0.641;0.119;0.263;2.103;Alta libertad
40;Panama;Latin America and Caribbean;6.18;0.073;6.323;6.036;10.35;0.896;69.652;0.872;-0.166;0.856;2.43;1.298;0.976;0.667;0.596;0.079;0.053;2.509;Alta libertad
41;Uzbekistan;Commonwealth of Independent States;6.179;0.068;6.312;6.045;8.836;0.918;65.255;0.97;0.311;0.515;2.43;0.769;1.027;0.528;0.716;0.391;0.271;2.477;Alta libertad
42;Chile;Latin America and Caribbean;6.172;0.046;6.262;6.081;10.071;0.882;70.0;0.742;-0.044;0.83;2.43;1.2;0.946;0.678;0.438;0.159;0.07;2.682;Alta libertad
43;Poland;Central and Eastern Europe;6.166;0.04;6.245;6.087;10.382;0.898;69.702;0.841;-0.165;0.735;2.43;1.309;0.982;0.668;0.558;0.08;0.13;2.438;Alta libertad
44;Kazakhstan;Commonwealth of Independent States;6.152;0.047;6.243;6.06;10.155;0.952;65.2;0.853;-0.069;0.733;2.43;1.23;1.103;0.527;0.573;0.143;0.132;2.446;Alta libertad
45;Romania;Central and Eastern Europe;6.14;0.057;6.253;6.027;10.284;0.832;67.355;0.845;-0.219;0.938;2.43;1.275;0.832;0.595;0.564;0.045;0.001;2.83;Alta libertad
46;Kuwait;Middle East and North Africa;6.106;0.066;6.235;5.977;10.817;0.843;66.9;0.867;-0.104;0.736;2.43;1.461;0.857;0.58;0.591;0.12;0.13;2.368;Alta libertad
47;Serbia;Central and Eastern Europe;6.078;0.053;6.181;5.974;9.787;0.873;68.6;0.778;0.002;0.835;2.43;1.101;0.924;0.634;0.482;0.189;0.066;2.682;Alta libertad
48;El Salvador;Latin America and Caribbean;6.061;0.065;6.188;5.933;9.054;0.762;66.402;0.888;-0.11;0.688;2.43;0.845;0.675;0.565;0.615;0.116;0.16;3.085;Alta libertad
49;Mauritius;Sub-Saharan Africa;6.049;0.059;6.165;5.933;10.008;0.905;66.701;0.867;-0.054;0.789;2.43;1.178;0.996;0.574;0.59;0.153;0.096;2.462;Alta libertad
50;Latvia;Central and Eastern Europe;6.032;0.036;6.103;5.961;10.315;0.927;67.1;0.715;-0.162;0.8;2.43;1.285;1.047;0.587;0.405;0.082;0.089;2.536;Alta libertad
51;Colombia;Latin America and Caribbean;6.012;0.061;6.132;5.892;9.557;0.847;68.001;0.837;-0.135;0.841;2.43;1.021;0.866;0.615;0.554;0.1;0.063;2.794;Alta libertad
52;Hungary;Central and Eastern Europe;5.992;0.047;6.085;5.899;10.358;0.943;68.0;0.755;-0.186;0.876;2.43;1.301;1.083;0.615;0.454;0.067;0.04;2.432;Alta libertad
53;Thailand;Southeast Asia;5.985;0.047;6.077;5.893;9.805;0.888;67.401;0.884;0.287;0.895;2.43;1.107;0.957;0.596;0.611;0.375;0.028;2.309;Alta libertad
54;Nicaragua;Latin America and Caribbean;5.972;0.083;6.134;5.81;8.62;0.864;67.657;0.836;0.02;0.664;2.43;0.693;0.904;0.604;0.553;0.201;0.176;2.841;Alta libertad
55;Japan;East Asia;5.94;0.04;6.02;5.861;10.611;0.884;75.1;0.796;-0.258;0.638;2.43;1.389;0.949;0.838;0.504;0.02;0.192;2.048;Alta libertad
56;Argentina;Latin America and Caribbean;5.929;0.056;6.04;5.819;9.962;0.898;69.0;0.828;-0.182;0.834;2.43;1.162;0.98;0.646;0.544;0.069;0.067;2.461;Alta libertad
57;Portugal;Western Europe;5.929;0.055;6.037;5.821;10.421;0.879;72.6;0.892;-0.244;0.887;2.43;1.323;0.939;0.76;0.621;0.029;0.033;2.225;Alta libertad
58;Honduras;Latin America and Caribbean;5.919;0.082;6.081;5.758;8.648;0.812;67.3;0.857;0.081;0.809;2.43;0.703;0.787;0.593;0.578;0.241;0.083;2.934;Alta libertad
59;Croatia;Central and Eastern Europe;5.882;0.048;5.975;5.788;10.217;0.924;70.799;0.754;-0.118;0.939;2.43;1.251;1.039;0.703;0.453;0.111;0.0;2.325;Alta libertad
60;Philippines;Southeast Asia;5.88;0.052;5.982;5.778;9.076;0.83;62.0;0.917;-0.097;0.742;2.43;0.853;0.828;0.426;0.651;0.125;0.126;2.872;Alta libertad
61;South Korea;East Asia;5.845;0.042;5.928;5.763;10.651;0.799;73.9;0.672;-0.083;0.727;2.43;1.403;0.758;0.801;0.353;0.134;0.135;2.262;Alta libertad
62;Peru;Latin America and Caribbean;5.84;0.075;5.988;5.692;9.458;0.832;68.25;0.822;-0.154;0.891;2.43;0.986;0.833;0.623;0.536;0.087;0.031;2.744;Alta libertad
63;Bosnia and Herzegovina;Central and Eastern Europe;5.813;0.05;5.911;5.715;9.59;0.87;68.098;0.706;0.113;0.931;2.43;1.032;0.919;0.618;0.395;0.261;0.005;2.583;Alta libertad
64;Moldova;Commonwealth of Independent States;5.766;0.046;5.856;5.677;9.454;0.857;65.699;0.822;-0.079;0.918;2.43;0.985;0.888;0.542;0.536;0.137;0.013;2.665;Alta libertad
65;Ecuador;Latin America and Caribbean;5.764;0.057;5.875;5.653;9.313;0.821;68.8;0.842;-0.124;0.843;2.43;0.935;0.806;0.64;0.56;0.107;0.062;2.653;Alta libertad
66;Kyrgyzstan;Commonwealth of Independent States;5.744;0.046;5.834;5.653;8.538;0.893;64.401;0.935;0.119;0.908;2.43;0.665;0.971;0.501;0.673;0.266;0.02;2.648;Alta libertad
67;Greece;Western Europe;5.723;0.046;5.813;5.632;10.279;0.823;72.6;0.582;-0.288;0.823;2.43;1.273;0.811;0.76;0.243;0.0;0.074;2.561;Alta libertad
68;Bolivia;Latin America and Caribbean;5.716;0.053;5.819;5.613;9.046;0.81;63.901;0.875;-0.077;0.839;2.43;0.842;0.782;0.486;0.6;0.138;0.064;2.805;Alta libertad
69;Mongolia;East Asia;5.677;0.042;5.76;5.595;9.4;0.935;62.5;0.708;0.116;0.856;2.43;0.966;1.065;0.442;0.397;0.263;0.053;2.492;Alta libertad
70;Paraguay;Latin America and Caribbean;5.653;0.092;5.832;5.473;9.448;0.893;65.9;0.876;0.028;0.882;2.43;0.983;0.97;0.549;0.602;0.206;0.037;2.306;Alta libertad
71;Montenegro;Central and Eastern Europe;5.581;0.054;5.686;5.475;9.94;0.858;68.699;0.708;-0.034;0.812;2.43;1.155;0.891;0.637;0.397;0.166;0.081;2.254;Alta libertad
72;Dominican Republic;Latin America and Caribbean;5.545;0.071;5.685;5.405;9.802;0.853;66.102;0.86;-0.133;0.714;2.43;1.106;0.879;0.555;0.581;0.101;0.144;2.178;Alta libertad
73;North Cyprus;Western Europe;5.536;0.051;5.636;5.435;10.576;0.82;73.898;0.795;0.012;0.626;2.43;1.377;0.806;0.801;0.503;0.196;0.2;1.653;Alta libertad
74;Belarus;Commonwealth of Independent States;5.534;0.047;5.625;5.442;9.853;0.91;66.253;0.65;-0.18;0.627;2.43;1.124;1.007;0.56;0.326;0.07;0.199;2.247;Alta libertad
75;Russia;Commonwealth of Independent States;5.477;0.033;5.541;5.413;10.189;0.903;64.703;0.718;-0.111;0.845;2.43;1.241;0.992;0.511;0.409;0.115;0.06;2.148;Alta libertad
76;Hong Kong S.A.R. of China;East Asia;5.477;0.049;5.573;5.38;11.0;0.836;76.82;0.717;0.067;0.403;2.43;1.525;0.841;0.893;0.408;0.232;0.342;1.236;Alta libertad
77;Tajikistan;Commonwealth of Independent States;5.466;0.034;5.532;5.4;8.091;0.86;64.281;0.832;-0.056;0.553;2.43;0.508;0.895;0.498;0.548;0.152;0.247;2.619;Alta libertad
78;Vietnam;Southeast Asia;5.411;0.039;5.488;5.334;8.973;0.85;68.034;0.94;-0.098;0.796;2.43;0.817;0.873;0.616;0.679;0.124;0.091;2.211;Alta libertad
79;Libya;Middle East and North Africa;5.41;0.076;5.558;5.262;9.622;0.827;62.3;0.771;-0.087;0.667;2.43;1.044;0.821;0.435;0.474;0.131;0.174;2.331;Alta libertad
80;Malaysia;Southeast Asia;5.384;0.049;5.48;5.289;10.238;0.817;67.102;0.895;0.125;0.839;2.43;1.259;0.797;0.587;0.624;0.27;0.064;1.784;Alta libertad
81;Indonesia;Southeast Asia;5.345;0.056;5.454;5.235;9.365;0.811;62.236;0.873;0.542;0.867;2.43;0.954;0.786;0.433;0.598;0.541;0.046;1.987;Alta libertad
82;Congo (Brazzaville);Sub-Saharan Africa;5.342;0.097;5.533;5.151;8.117;0.636;58.221;0.695;-0.068;0.745;2.43;0.518;0.392;0.307;0.381;0.144;0.124;3.476;Alta libertad
83;China;East Asia;5.339;0.029;5.397;5.281;9.673;0.811;69.593;0.904;-0.146;0.755;2.43;1.061;0.785;0.665;0.636;0.093;0.117;1.982;Alta libertad
84;Ivory Coast;Sub-Saharan Africa;5.306;0.078;5.46;5.152;8.551;0.644;50.114;0.741;-0.016;0.794;2.43;0.669;0.409;0.052;0.438;0.177;0.092;3.469;Alta libertad
85;Armenia;Commonwealth of Independent States;5.283;0.058;5.397;5.168;9.487;0.799;67.055;0.825;-0.168;0.629;2.43;0.996;0.758;0.585;0.54;0.079;0.198;2.127;Alta libertad
86;Nepal;South Asia;5.269;0.07;5.406;5.132;8.12;0.774;64.233;0.782;0.152;0.727;2.43;0.519;0.702;0.496;0.488;0.287;0.135;2.642;Alta libertad
87;Bulgaria;Central and Eastern Europe;5.266;0.054;5.371;5.16;10.016;0.931;67.0;0.788;-0.096;0.932;2.43;1.181;1.055;0.583;0.494;0.125;0.005;1.823;Alta libertad
88;Maldives;South Asia;5.198;0.072;5.339;5.057;9.826;0.913;70.6;0.854;0.024;0.825;2.43;1.115;1.015;0.697;0.575;0.204;0.073;1.52;Alta libertad
89;Azerbaijan;Commonwealth of Independent States;5.171;0.04;5.25;5.091;9.569;0.836;65.656;0.814;-0.223;0.506;2.43;1.025;0.841;0.541;0.526;0.043;0.276;1.919;Alta libertad
90;Cameroon;Sub-Saharan Africa;5.142;0.074;5.288;4.996;8.189;0.71;53.515;0.731;0.026;0.848;2.43;0.543;0.556;0.159;0.425;0.205;0.058;3.195;Alta libertad
91;Senegal;Sub-Saharan Africa;5.132;0.068;5.266;4.998;8.118;0.71;59.802;0.695;-0.046;0.801;2.43;0.518;0.558;0.357;0.381;0.158;0.088;3.071;Alta libertad
92;Albania;Central and Eastern Europe;5.117;0.059;5.234;5.001;9.52;0.697;68.999;0.785;-0.03;0.901;2.43;1.008;0.529;0.646;0.491;0.168;0.024;2.25;Alta libertad
93;North Macedonia;Central and Eastern Europe;5.101;0.051;5.202;5.001;9.693;0.805;65.474;0.751;0.038;0.905;2.43;1.068;0.772;0.535;0.45;0.212;0.022;2.042;Alta libertad
94;Ghana;Sub-Saharan Africa;5.088;0.067;5.219;4.958;8.58;0.727;57.586;0.807;0.123;0.848;2.43;0.68;0.595;0.287;0.517;0.268;0.058;2.684;Alta libertad
95;Niger;Sub-Saharan Africa;5.074;0.102;5.273;4.875;7.098;0.641;53.78;0.806;0.018;0.693;2.43;0.162;0.402;0.167;0.516;0.2;0.157;3.47;Alta libertad
96;Turkmenistan;Commonwealth of Independent States;5.066;0.036;5.136;4.996;9.629;0.983;62.409;0.877;0.273;0.888;2.43;1.046;1.172;0.439;0.602;0.366;0.033;1.409;Alta libertad
97;Gambia;Sub-Saharan Africa;5.051;0.089;5.225;4.877;7.686;0.69;55.16;0.697;0.424;0.746;2.43;0.367;0.511;0.21;0.384;0.465;0.123;2.99;Alta libertad
98;Benin;Sub-Saharan Africa;5.045;0.073;5.189;4.901;8.087;0.489;54.713;0.757;-0.034;0.661;2.43;0.507;0.058;0.196;0.457;0.166;0.178;3.482;Alta libertad
99;Laos;Southeast Asia;5.03;0.045;5.119;4.941;8.947;0.728;58.968;0.91;0.123;0.658;2.43;0.808;0.598;0.33;0.643;0.268;0.179;2.204;Alta libertad
100;Bangladesh;South Asia;5.025;0.046;5.115;4.934;8.454;0.693;64.8;0.877;-0.041;0.682;2.43;0.635;0.52;0.514;0.603;0.161;0.164;2.427;Alta libertad
101;Guinea;Sub-Saharan Africa;4.984;0.09;5.16;4.808;7.838;0.639;55.008;0.697;0.095;0.766;2.43;0.42;0.399;0.206;0.384;0.25;0.111;3.216;Alta libertad
102;South Africa;Sub-Saharan Africa;4.956;0.06;5.074;4.839;9.403;0.86;56.904;0.749;-0.067;0.86;2.43;0.967;0.895;0.265;0.447;0.144;0.051;2.187;Alta libertad
103;Turkey;Middle East and North Africa;4.948;0.046;5.038;4.857;10.24;0.822;67.199;0.576;-0.139;0.776;2.43;1.26;0.809;0.59;0.236;0.097;0.104;1.852;Alta libertad
104;Pakistan;South Asia;4.934;0.068;5.066;4.802;8.458;0.651;58.709;0.726;0.098;0.787;2.43;0.637;0.423;0.322;0.418;0.252;0.097;2.784;Alta libertad
105;Morocco;Middle East and North Africa;4.918;0.06;5.036;4.8;8.903;0.56;66.208;0.774;-0.236;0.801;2.43;0.792;0.219;0.558;0.477;0.034;0.088;2.749;Alta libertad
106;Venezuela;Latin America and Caribbean;4.892;0.064;5.017;4.767;9.073;0.861;66.7;0.615;-0.169;0.827;2.43;0.852;0.897;0.574;0.284;0.078;0.072;2.135;Alta libertad
107;Georgia;Commonwealth of Independent States;4.891;0.054;4.998;4.785;9.585;0.671;64.3;0.783;-0.238;0.655;2.43;1.03;0.47;0.498;0.488;0.032;0.181;2.191;Alta libertad
108;Algeria;Middle East and North Africa;4.887;0.053;4.991;4.783;9.342;0.802;66.005;0.48;-0.067;0.752;2.43;0.946;0.765;0.552;0.119;0.144;0.12;2.242;Baja libertad
109;Ukraine;Commonwealth of Independent States;4.875;0.052;4.977;4.773;9.436;0.888;64.902;0.724;-0.011;0.924;2.43;0.979;0.958;0.517;0.417;0.181;0.01;1.813;Alta libertad
110;Iraq;Middle East and North Africa;4.854;0.059;4.97;4.738;9.24;0.746;60.583;0.63;-0.053;0.875;2.43;0.91;0.638;0.381;0.302;0.153;0.041;2.429;Alta libertad
111;Gabon;Sub-Saharan Africa;4.852;0.075;4.998;4.706;9.603;0.776;59.962;0.731;-0.2;0.84;2.43;1.037;0.707;0.362;0.424;0.058;0.064;2.201;Alta libertad
112;Burkina Faso;Sub-Saharan Africa;4.834;0.081;4.993;4.675;7.678;0.672;54.151;0.695;-0.009;0.748;2.43;0.364;0.472;0.179;0.381;0.182;0.122;3.133;Alta libertad
113;Cambodia;Southeast Asia;4.83;0.067;4.963;4.698;8.36;0.765;62.0;0.959;0.034;0.843;2.43;0.603;0.68;0.426;0.702;0.21;0.061;2.148;Alta libertad
114;Mozambique;Sub-Saharan Africa;4.794;0.103;4.997;4.592;7.158;0.744;54.706;0.882;0.061;0.684;2.43;0.183;0.634;0.196;0.608;0.228;0.163;2.783;Alta libertad
115;Nigeria;Sub-Saharan Africa;4.759;0.052;4.861;4.658;8.533;0.74;50.102;0.737;0.037;0.878;2.43;0.663;0.625;0.051;0.433;0.212;0.039;2.736;Alta libertad
116;Mali;Sub-Saharan Africa;4.723;0.082;4.884;4.563;7.744;0.724;51.969;0.697;-0.036;0.827;2.43;0.387;0.59;0.11;0.384;0.164;0.072;3.016;Alta libertad
117;Iran;Middle East and North Africa;4.721;0.055;4.828;4.614;9.584;0.71;66.3;0.608;0.218;0.714;2.43;1.03;0.557;0.561;0.275;0.33;0.144;1.823;Alta libertad
118;Uganda;Sub-Saharan Africa;4.636;0.073;4.78;4.493;7.677;0.781;56.101;0.709;0.122;0.855;2.43;0.364;0.718;0.24;0.398;0.267;0.054;2.596;Alta libertad
119;Liberia;Sub-Saharan Africa;4.625;0.106;4.833;4.417;7.288;0.72;56.498;0.735;0.05;0.85;2.43;0.228;0.58;0.253;0.43;0.221;0.057;2.857;Alta libertad
120;Kenya;Sub-Saharan Africa;4.607;0.072;4.747;4.466;8.361;0.688;60.704;0.779;0.287;0.825;2.43;0.603;0.508;0.385;0.483;0.375;0.073;2.18;Alta libertad
121;Tunisia;Middle East and North Africa;4.596;0.058;4.709;4.484;9.266;0.691;67.201;0.656;-0.201;0.87;2.43;0.919;0.515;0.59;0.334;0.057;0.044;2.138;Alta libertad
122;Lebanon;Middle East and North Africa;4.584;0.055;4.691;4.477;9.626;0.848;67.355;0.525;-0.073;0.898;2.43;1.045;0.868;0.595;0.175;0.14;0.026;1.736;Alta libertad
123;Namibia;Sub-Saharan Africa;4.574;0.064;4.7;4.448;9.161;0.818;56.799;0.719;-0.149;0.847;2.43;0.882;0.801;0.262;0.411;0.091;0.059;2.068;Alta libertad
124;Palestinian Territories;Middle East and North Africa;4.517;0.067;4.649;4.384;8.485;0.826;62.25;0.653;-0.163;0.821;2.43;0.646;0.819;0.434;0.33;0.082;0.075;2.131;Alta libertad
125;Myanmar;Southeast Asia;4.426;0.052;4.527;4.324;8.541;0.779;59.302;0.876;0.509;0.66;2.43;0.666;0.713;0.341;0.601;0.52;0.178;1.407;Alta libertad
126;Jordan;Middle East and North Africa;4.395;0.062;4.516;4.273;9.182;0.767;67.0;0.755;-0.167;0.705;2.43;0.89;0.685;0.583;0.455;0.079;0.15;1.553;Alta libertad
127;Chad;Sub-Saharan Africa;4.355;0.094;4.54;4.171;7.364;0.619;48.478;0.579;0.041;0.807;2.43;0.255;0.353;0.0;0.24;0.215;0.084;3.209;Alta libertad
128;Sri Lanka;South Asia;4.325;0.066;4.454;4.196;9.47;0.827;67.299;0.841;0.079;0.863;2.43;0.99;0.82;0.593;0.559;0.239;0.049;1.075;Alta libertad
129;Swaziland;Sub-Saharan Africa;4.308;0.071;4.448;4.168;9.065;0.77;50.833;0.647;-0.185;0.708;2.43;0.849;0.693;0.074;0.323;0.067;0.147;2.155;Alta libertad
130;Comoros;Sub-Saharan Africa;4.289;0.084;4.454;4.123;8.031;0.626;57.349;0.548;0.082;0.781;2.43;0.488;0.367;0.279;0.202;0.241;0.101;2.61;Alta libertad
131;Egypt;Middle East and North Africa;4.283;0.045;4.371;4.195;9.367;0.75;61.998;0.749;-0.182;0.795;2.43;0.954;0.647;0.426;0.446;0.069;0.092;1.648;Alta libertad
132;Ethiopia;Sub-Saharan Africa;4.275;0.051;4.374;4.175;7.694;0.764;59.0;0.752;0.082;0.761;2.43;0.37;0.679;0.331;0.451;0.241;0.114;2.089;Alta libertad
133;Mauritania;Sub-Saharan Africa;4.227;0.07;4.365;4.09;8.542;0.795;57.161;0.561;-0.106;0.731;2.43;0.666;0.749;0.273;0.218;0.119;0.133;2.069;Alta libertad
134;Madagascar;Sub-Saharan Africa;4.208;0.072;4.349;4.068;7.396;0.686;59.305;0.552;-0.005;0.803;2.43;0.266;0.503;0.341;0.207;0.185;0.087;2.62;Alta libertad
135;Togo;Sub-Saharan Africa;4.107;0.077;4.258;3.956;7.362;0.569;54.914;0.619;0.032;0.772;2.43;0.254;0.239;0.203;0.289;0.209;0.107;2.806;Alta libertad
136;Zambia;Sub-Saharan Africa;4.073;0.069;4.209;3.938;8.145;0.708;55.809;0.782;0.061;0.823;2.43;0.528;0.552;0.231;0.487;0.227;0.074;1.975;Alta libertad
137;Sierra Leone;Sub-Saharan Africa;3.849;0.077;4.001;3.698;7.434;0.63;51.651;0.717;0.084;0.866;2.43;0.279;0.377;0.1;0.408;0.243;0.047;2.396;Alta libertad
138;India;South Asia;3.819;0.026;3.869;3.769;8.755;0.603;60.633;0.893;0.089;0.774;2.43;0.741;0.316;0.383;0.622;0.246;0.106;1.405;Alta libertad
139;Burundi;Sub-Saharan Africa;3.775;0.107;3.985;3.565;6.635;0.49;53.4;0.626;-0.024;0.607;2.43;0.0;0.062;0.155;0.298;0.172;0.212;2.876;Alta libertad
